dataset,image_filename,image_path,mask_path,image_width,image_height,image_size_bytes,mask_size_bytes,has_mask,num_bounding_boxes,bounding_boxes,label,bbox_width,bbox_height
kvasir-seg,cju2lz8vqktne0993fuym6drw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2lz8vqktne0993fuym6drw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2lz8vqktne0993fuym6drw.jpg,613,531,36646,10183,Yes,1,"polyp: [244,339,418,498]",polyp,613,531
kvasir-seg,cju2m56cryvqd0801gtn2yp8t.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2m56cryvqd0801gtn2yp8t.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2m56cryvqd0801gtn2yp8t.jpg,616,546,37530,9244,Yes,1,"polyp: [61,169,192,310]",polyp,616,546
kvasir-seg,cju2m71z2ywwv080131bcrsd3.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2m71z2ywwv080131bcrsd3.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2m71z2ywwv080131bcrsd3.jpg,570,531,27689,10361,Yes,1,"polyp: [194,283,382,492]",polyp,570,531
kvasir-seg,cju2ma647l0nj0993ot4deq2q.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2ma647l0nj0993ot4deq2q.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2ma647l0nj0993ot4deq2q.jpg,621,547,34205,13477,Yes,2,"polyp: [288,169,459,388]; polyp: [229,424,421,547]",polyp,621,547
kvasir-seg,cju2mfjndoz700988b9lc3zeq.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2mfjndoz700988b9lc3zeq.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2mfjndoz700988b9lc3zeq.jpg,622,531,29472,11584,Yes,1,"polyp: [277,99,489,321]",polyp,622,531
kvasir-seg,cju2mh8t6p07008350e01tx2a.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2mh8t6p07008350e01tx2a.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2mh8t6p07008350e01tx2a.jpg,588,528,48337,9734,Yes,1,"polyp: [250,158,403,334]",polyp,588,528
kvasir-seg,cju2nbdpmlmcj0993s1cht0dz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nbdpmlmcj0993s1cht0dz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nbdpmlmcj0993s1cht0dz.jpg,584,530,30475,15116,Yes,1,"polyp: [172,169,538,500]",polyp,584,530
kvasir-seg,cju2nd7l7z98o0799gfjvyfmw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nd7l7z98o0799gfjvyfmw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nd7l7z98o0799gfjvyfmw.jpg,1348,1070,123511,36148,Yes,1,"polyp: [546,427,1132,966]",polyp,1348,1070
kvasir-seg,cju2nfnvxzdkd0878399axlco.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nfnvxzdkd0878399axlco.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nfnvxzdkd0878399axlco.jpg,598,546,30831,12434,Yes,1,"polyp: [64,168,375,369]",polyp,598,546
kvasir-seg,cju2nguelpmlj0835rojdn097.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nguelpmlj0835rojdn097.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nguelpmlj0835rojdn097.jpg,591,529,40642,12771,Yes,1,"polyp: [228,237,483,524]",polyp,591,529
kvasir-seg,cju2nnqrqzp580855z8mhzgd6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nnqrqzp580855z8mhzgd6.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nnqrqzp580855z8mhzgd6.jpg,569,518,31486,18819,Yes,1,"polyp: [0,0,568,517]",polyp,569,518
kvasir-seg,cju2np2k9zi3v079992ypxqkn.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2np2k9zi3v079992ypxqkn.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2np2k9zi3v079992ypxqkn.jpg,603,531,36614,12286,Yes,1,"polyp: [202,254,472,466]",polyp,603,531
kvasir-seg,cju2nqapmzvk20801f9us40dx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nqapmzvk20801f9us40dx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nqapmzvk20801f9us40dx.jpg,626,547,36943,14812,Yes,2,"polyp: [41,117,245,362]; polyp: [255,453,376,547]",polyp,626,547
kvasir-seg,cju2nsmwjlzyl0993jl80chvz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nsmwjlzyl0993jl80chvz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nsmwjlzyl0993jl80chvz.jpg,625,547,34120,10185,Yes,1,"polyp: [217,233,365,381]",polyp,625,547
kvasir-seg,cju2ntxtdzlvu0799xl3j9pan.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2ntxtdzlvu0799xl3j9pan.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2ntxtdzlvu0799xl3j9pan.jpg,626,547,37972,9817,Yes,1,"polyp: [332,357,484,462]",polyp,626,547
kvasir-seg,cju2nyc5f02m40801ojqbtiea.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2nyc5f02m40801ojqbtiea.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2nyc5f02m40801ojqbtiea.jpg,622,531,27969,10699,Yes,1,"polyp: [228,326,441,531]",polyp,622,531
kvasir-seg,cju2oi8sq0i2y0801mektzvw8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2oi8sq0i2y0801mektzvw8.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2oi8sq0i2y0801mektzvw8.jpg,1348,1070,138015,56590,Yes,1,"polyp: [0,0,1347,1069]",polyp,1348,1070
kvasir-seg,cju2okvco06xc0799kxe5n1qh.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2okvco06xc0799kxe5n1qh.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2okvco06xc0799kxe5n1qh.jpg,577,530,30682,15588,Yes,1,"polyp: [130,84,554,420]",polyp,577,530
kvasir-seg,cju2omjpeqj5a0988pjdlb8l1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2omjpeqj5a0988pjdlb8l1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2omjpeqj5a0988pjdlb8l1.jpg,566,530,24972,13908,Yes,1,"polyp: [20,135,346,513]",polyp,566,530
kvasir-seg,cju2oo0wh0bqy0878biujeyhe.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2oo0wh0bqy0878biujeyhe.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2oo0wh0bqy0878biujeyhe.jpg,621,530,26557,10631,Yes,1,"polyp: [286,167,481,360]",polyp,621,530
kvasir-seg,cju2oq5570avm079959o20op1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2oq5570avm079959o20op1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2oq5570avm079959o20op1.jpg,626,547,34696,12029,Yes,1,"polyp: [185,329,581,547]",polyp,626,547
kvasir-seg,cju2osuru0ki00855txo0n3uu.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2osuru0ki00855txo0n3uu.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2osuru0ki00855txo0n3uu.jpg,594,528,40265,12945,Yes,1,"polyp: [100,33,370,314]",polyp,594,528
kvasir-seg,cju2otvvv0l7z0855x7we8cb0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2otvvv0l7z0855x7we8cb0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2otvvv0l7z0855x7we8cb0.jpg,571,531,37939,10692,Yes,1,"polyp: [98,348,305,521]",polyp,571,531
kvasir-seg,cju2ouil2mssu0993hvxsed6d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2ouil2mssu0993hvxsed6d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2ouil2mssu0993hvxsed6d.jpg,605,511,39026,8654,Yes,1,"polyp: [246,243,361,360]",polyp,605,511
kvasir-seg,cju2p0eveqtdc0835gpi3p93i.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2p0eveqtdc0835gpi3p93i.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2p0eveqtdc0835gpi3p93i.jpg,622,528,47970,12203,Yes,1,"polyp: [146,213,372,459]",polyp,622,528
kvasir-seg,cju2p4ddkmzxj0993p94o62av.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2p4ddkmzxj0993p94o62av.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2p4ddkmzxj0993p94o62av.jpg,592,529,45198,10306,Yes,1,"polyp: [247,272,428,466]",polyp,592,529
kvasir-seg,cju2p91qir00k08350ddfif0w.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2p91qir00k08350ddfif0w.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2p91qir00k08350ddfif0w.jpg,1348,1070,101115,32028,Yes,1,"polyp: [348,385,772,648]",polyp,1348,1070
kvasir-seg,cju2pag1f0s4r0878h52uq83s.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2pag1f0s4r0878h52uq83s.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2pag1f0s4r0878h52uq83s.jpg,570,530,32639,9485,Yes,1,"polyp: [164,286,309,445]",polyp,570,530
kvasir-seg,cju2phaksnahz0993yxogjcpv.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2phaksnahz0993yxogjcpv.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2phaksnahz0993yxogjcpv.jpg,622,528,33415,9936,Yes,1,"polyp: [60,253,191,436]",polyp,622,528
kvasir-seg,cju2pjb9v0ywn0878j5g5n69j.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2pjb9v0ywn0878j5g5n69j.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2pjb9v0ywn0878j5g5n69j.jpg,622,529,42686,11358,Yes,1,"polyp: [248,127,423,359]",polyp,622,529
kvasir-seg,cju2pkwt3r8b90988v2ywq1px.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2pkwt3r8b90988v2ywq1px.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2pkwt3r8b90988v2ywq1px.jpg,622,530,27584,10722,Yes,1,"polyp: [80,134,267,298]",polyp,622,530
kvasir-seg,cju2pmhtr17a00855cvpelzb0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2pmhtr17a00855cvpelzb0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2pmhtr17a00855cvpelzb0.jpg,622,530,26686,11463,Yes,1,"polyp: [319,279,534,496]",polyp,622,530
kvasir-seg,cju2qdj95ru8g09886gfi9rsz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qdj95ru8g09886gfi9rsz.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qdj95ru8g09886gfi9rsz.jpg,571,531,28805,15303,Yes,1,"polyp: [59,132,557,531]",polyp,571,531
kvasir-seg,cju2qfie4rvz508357kad9z5o.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qfie4rvz508357kad9z5o.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qfie4rvz508357kad9z5o.jpg,622,529,44188,11939,Yes,1,"polyp: [152,82,332,394]",polyp,622,529
kvasir-seg,cju2qh5le1ock0878oahaql7d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qh5le1ock0878oahaql7d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qh5le1ock0878oahaql7d.jpg,622,530,31855,12750,Yes,1,"polyp: [306,205,543,503]",polyp,622,530
kvasir-seg,cju2qn2fzs1vy0988l243cvzy.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qn2fzs1vy0988l243cvzy.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qn2fzs1vy0988l243cvzy.jpg,597,547,36978,14096,Yes,1,"polyp: [203,210,533,524]",polyp,597,547
kvasir-seg,cju2qozsk20cq0855ugrg3cri.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qozsk20cq0855ugrg3cri.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qozsk20cq0855ugrg3cri.jpg,626,546,51927,12409,Yes,1,"polyp: [370,184,580,451]",polyp,626,546
kvasir-seg,cju2qqn5ys4uo0988ewrt2ip2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qqn5ys4uo0988ewrt2ip2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qqn5ys4uo0988ewrt2ip2.jpg,626,546,40164,19176,Yes,1,"polyp: [53,0,554,515]",polyp,626,546
kvasir-seg,cju2qs32r1vys07999conmbvx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qs32r1vys07999conmbvx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qs32r1vys07999conmbvx.jpg,622,528,38950,8024,Yes,1,"polyp: [379,145,457,248]",polyp,622,528
kvasir-seg,cju2qtee81yd708787bsjr75d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qtee81yd708787bsjr75d.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qtee81yd708787bsjr75d.jpg,511,530,26496,10440,Yes,1,"polyp: [121,252,340,446]",polyp,511,530
kvasir-seg,cju2qu37qobl50993aw7ghcfq.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qu37qobl50993aw7ghcfq.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qu37qobl50993aw7ghcfq.jpg,543,528,23679,8606,Yes,1,"polyp: [188,198,343,323]",polyp,543,528
kvasir-seg,cju2qvuj1s9ok0835tp2k4ozh.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qvuj1s9ok0835tp2k4ozh.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qvuj1s9ok0835tp2k4ozh.jpg,605,531,26970,15504,Yes,1,"polyp: [203,120,592,530]",polyp,605,531
kvasir-seg,cju2qxxko229x08786gvxxhur.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qxxko229x08786gvxxhur.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qxxko229x08786gvxxhur.jpg,484,530,20258,14829,Yes,1,"polyp: [80,12,420,424]",polyp,484,530
kvasir-seg,cju2qz06823a40878ojcz9ccx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2qz06823a40878ojcz9ccx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2qz06823a40878ojcz9ccx.jpg,603,530,26386,11348,Yes,1,"polyp: [265,158,518,362]",polyp,603,530
kvasir-seg,cju2r11x7sdgx0988o8ule0wl.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2r11x7sdgx0988o8ule0wl.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2r11x7sdgx0988o8ule0wl.jpg,622,528,40451,12506,Yes,1,"polyp: [308,222,595,466]",polyp,622,528
kvasir-seg,cju2r2obh2bjm08553kng0rh7.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2r2obh2bjm08553kng0rh7.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2r2obh2bjm08553kng0rh7.jpg,474,458,15982,10221,Yes,1,"polyp: [149,148,397,384]",polyp,474,458
kvasir-seg,cju2r6mt2om21099352pny5gw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2r6mt2om21099352pny5gw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2r6mt2om21099352pny5gw.jpg,608,528,44979,15718,Yes,1,"polyp: [188,0,528,388]",polyp,608,528
kvasir-seg,cju2r7h21sj9608354gzks3ae.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2r7h21sj9608354gzks3ae.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2r7h21sj9608354gzks3ae.jpg,614,530,30954,8640,Yes,1,"polyp: [263,305,401,403]",polyp,614,530
kvasir-seg,cju2r91dg2k090801bh0xzbxk.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2r91dg2k090801bh0xzbxk.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2r91dg2k090801bh0xzbxk.jpg,1348,1070,112262,31054,Yes,1,"polyp: [212,234,555,523]",polyp,1348,1070
kvasir-seg,cju2raxlosl630988jdbfy9b0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2raxlosl630988jdbfy9b0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2raxlosl630988jdbfy9b0.jpg,557,528,32557,14215,Yes,1,"polyp: [0,0,556,527]",polyp,557,528
kvasir-seg,cju2rga4psq9n09881z519xx0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rga4psq9n09881z519xx0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rga4psq9n09881z519xx0.jpg,622,529,41579,10432,Yes,1,"polyp: [310,211,482,364]",polyp,622,529
kvasir-seg,cju2ricdv2iys0878sv1adh0u.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2ricdv2iys0878sv1adh0u.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2ricdv2iys0878sv1adh0u.jpg,616,530,36610,18803,Yes,1,"polyp: [0,0,565,529]",polyp,616,530
kvasir-seg,cju2rkjfwoxys0993x768l1j2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rkjfwoxys0993x768l1j2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rkjfwoxys0993x768l1j2.jpg,597,401,28766,12714,Yes,1,"polyp: [40,111,448,390]",polyp,597,401
kvasir-seg,cju2rlqdnoz9k0993cpjae3x0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rlqdnoz9k0993cpjae3x0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rlqdnoz9k0993cpjae3x0.jpg,592,531,38071,13096,Yes,1,"polyp: [237,161,509,464]",polyp,592,531
kvasir-seg,cju2rmd2rsw9g09888hh1efu0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rmd2rsw9g09888hh1efu0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rmd2rsw9g09888hh1efu0.jpg,570,531,49414,6860,Yes,1,"polyp: [330,125,381,184]",polyp,570,531
kvasir-seg,cju2rn0hasxri0835nfy3buay.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rn0hasxri0835nfy3buay.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rn0hasxri0835nfy3buay.jpg,622,531,32502,8611,Yes,1,"polyp: [232,415,357,525]",polyp,622,531
kvasir-seg,cju2rnkt22xep0801as160g9t.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rnkt22xep0801as160g9t.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rnkt22xep0801as160g9t.jpg,558,454,21459,8562,Yes,2,"polyp: [298,181,378,291]; polyp: [60,263,130,321]",polyp,558,454
kvasir-seg,cju2ro5jqsy680988pi6qsujw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2ro5jqsy680988pi6qsujw.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2ro5jqsy680988pi6qsujw.jpg,622,531,39662,16936,Yes,1,"polyp: [253,138,582,531]",polyp,622,531
kvasir-seg,cju2rpa30t07b0835im0erql0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rpa30t07b0835im0erql0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rpa30t07b0835im0erql0.jpg,621,529,44122,11046,Yes,1,"polyp: [140,166,310,414]",polyp,621,529
kvasir-seg,cju2rqo702wpx0855fn7d5cxh.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rqo702wpx0855fn7d5cxh.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rqo702wpx0855fn7d5cxh.jpg,621,529,39995,8869,Yes,1,"polyp: [331,187,448,302]",polyp,621,529
kvasir-seg,cju2rxm8rpbaf0993o3qr2oph.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rxm8rpbaf0993o3qr2oph.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rxm8rpbaf0993o3qr2oph.jpg,571,531,30422,8653,Yes,1,"polyp: [330,215,415,424]",polyp,571,531
kvasir-seg,cju2rz4k434s70855wwx3ddtx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rz4k434s70855wwx3ddtx.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rz4k434s70855wwx3ddtx.jpg,612,530,36535,15310,Yes,2,"polyp: [217,150,471,406]; polyp: [109,318,227,476]",polyp,612,530
kvasir-seg,cju2rzpsmtb0f0835jabkbao1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2rzpsmtb0f0835jabkbao1.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2rzpsmtb0f0835jabkbao1.jpg,528,528,35678,7385,Yes,1,"polyp: [184,218,295,326]",polyp,528,528
kvasir-seg,cju2s16zp317h0799gr67jqc2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2s16zp317h0799gr67jqc2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2s16zp317h0799gr67jqc2.jpg,622,531,39778,14749,Yes,1,"polyp: [28,57,448,362]",polyp,622,531
kvasir-seg,cju2s2527pfyr0993l3h1149a.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2s2527pfyr0993l3h1149a.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2s2527pfyr0993l3h1149a.jpg,622,529,39629,8247,Yes,1,"polyp: [360,404,467,510]",polyp,622,529
kvasir-seg,cju2s9g11pnra0993gn4eh793.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju2s9g11pnra0993gn4eh793.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju2s9g11pnra0993gn4eh793.jpg,622,530,36409,16526,Yes,1,"polyp: [133,59,617,530]",polyp,622,530
